Timestamp,Pressure (Pa),DHT11 Temperature (°C),DHT11 Humidity (%),Raindrops Voltage (mV),Raindrops Category,LDR Voltage (mV),LDR Category
10/7/2024 10:00:41,97274.75,30.0,75.0,0,No Rain,805,Overcast
10/7/2024 10:00:50,97274.75,30.0,75.0,0,No Rain,795,Overcast
10/7/2024 10:00:59,97274.75,30.0,75.0,0,No Rain,788,Overcast
10/7/2024 10:01:08,97274.75,30.0,75.0,0,No Rain,795,Overcast
10/7/2024 10:01:17,97274.75,29.899999618530300,75.0,0,No Rain,776,Overcast
10/7/2024 10:01:26,97274.75,30.0,75.0,0,No Rain,784,Overcast
10/7/2024 10:01:35,97274.75,29.899999618530300,75.0,0,No Rain,789,Overcast
10/7/2024 10:01:44,97274.75,30.0,75.0,0,No Rain,785,Overcast
10/7/2024 10:01:53,97274.75,29.899999618530300,75.0,0,No Rain,797,Overcast
10/7/2024 10:02:02,97274.75,30.0,76.0,0,No Rain,774,Overcast
10/7/2024 10:02:11,97274.75,30.100000381469700,76.0,0,No Rain,800,Overcast
10/7/2024 10:02:20,97274.75,30.0,76.0,0,No Rain,788,Overcast
10/7/2024 10:02:29,97274.75,30.0,75.0,0,No Rain,797,Overcast
10/7/2024 10:02:38,97274.75,30.100000381469700,75.0,0,No Rain,787,Overcast
10/7/2024 10:02:47,97274.75,30.0,75.0,0,No Rain,795,Overcast
10/7/2024 10:02:56,97274.75,30.100000381469700,75.0,0,No Rain,801,Overcast
10/7/2024 10:03:05,97274.75,30.100000381469700,75.0,0,No Rain,799,Overcast
10/7/2024 10:03:14,97274.75,30.100000381469700,75.0,0,No Rain,798,Overcast
10/7/2024 10:03:23,97274.75,30.100000381469700,75.0,0,No Rain,800,Overcast
10/7/2024 10:03:32,97274.75,30.100000381469700,75.0,0,No Rain,805,Overcast
10/7/2024 10:03:41,97256.8125,30.100000381469700,75.0,0,No Rain,809,Overcast
10/7/2024 10:03:50,97256.8125,30.100000381469700,75.0,0,No Rain,810,Overcast
10/7/2024 10:03:59,97256.8125,30.100000381469700,75.0,0,No Rain,791,Overcast
10/7/2024 10:04:08,97256.8125,30.100000381469700,75.0,0,No Rain,828,Overcast
10/7/2024 10:04:17,97256.8125,30.100000381469700,76.0,0,No Rain,1607,Overcast
10/7/2024 10:04:26,97256.8125,30.100000381469700,76.0,0,No Rain,912,Overcast
10/7/2024 10:04:35,97256.8125,30.100000381469700,76.0,0,No Rain,807,Overcast
